name,muscle_gain,fat_loss,energy,recovery,general_health,training_days,budget_level,caffeine_ok,beginner_friendly,note
Whey Protein,9,5,2,6,4,4,6,0,9,Protein ihtiyacını tamamlamaya odaklıdır.
Creatine Monohydrate,9,4,3,8,4,4,8,0,8,Güç ve performans odaklı sporcular için yaygın bir seçenektir.
Omega-3,3,4,2,6,9,2,5,0,8,Genel sağlık odaklı bir üründür.
Vitamin D3,2,3,4,4,9,1,8,0,8,Genel sağlık profiline yakın kullanıcılar için örnektir.
Magnesium,2,2,3,8,7,3,8,0,9,Toparlanma ve rahatlama profilinde öne çıkar.
Electrolyte Powder,3,4,6,7,6,5,6,0,8,Terleme ve yoğun antrenman profilinde öne çıkar.
Caffeine Pre-Workout,5,5,10,3,3,4,5,10,4,Yüksek enerji arayan ve kafeine toleransı olan profile yakındır.
Beta-Alanine,6,3,7,5,3,5,5,0,5,Performans odaklı profile yakındır.
Casein Protein,8,5,2,7,4,4,5,0,7,Protein ve toparlanma profilinde öne çıkar.
Fiber Supplement,1,7,2,3,8,1,7,0,8,Tokluk ve genel sağlık profiline yakındır.
Probiotic,1,3,2,4,8,1,4,0,7,Sindirim/genel sağlık profilinde örnek üründür.
Collagen,3,2,2,6,6,2,4,0,7,Genel destek ve toparlanma profiline yakındır.
Caffeine-Free Pre-Workout,4,5,7,4,4,4,4,0,7,Enerji isteyen ama kafeinden kaçınan profile yakındır.
Carb Powder,7,1,8,6,2,5,5,0,5,Yoğun antrenman ve enerji ihtiyacı profiline yakındır.
Multivitamin,2,3,4,4,8,1,6,0,9,Genel sağlık odaklı başlangıç profiline yakındır.
Protein Bar,6,4,5,4,3,3,3,0,8,Pratik protein ihtiyacı profilinde örnektir.
ZMA Blend,3,2,3,7,6,4,5,0,6,Toparlanma profilinde örnek destek ürünüdür.
Glutamine,4,2,2,6,3,5,4,0,5,Yoğun antrenman sonrası toparlanma profiline yakındır.
